time,CPUPerc,RAMPerc,RAMAvailable,RAMTotal,BashliteActive
15:04:15,35.7,16.7,3087937536,3706793984,False
15:04:17,20.2,16.7,3087941632,3706793984,False
15:04:19,39.3,16.7,3087941632,3706793984,False
15:04:21,26.9,16.7,3087945728,3706793984,False
15:04:24,24.5,16.7,3086131200,3706793984,False
15:04:26,22.2,16.8,3085873152,3706793984,False
15:04:28,21.6,16.8,3085615104,3706793984,False
15:04:30,30.0,16.8,3083505664,3706793984,False
15:04:32,20.0,16.9,3081736192,3706793984,False
15:04:34,38.3,16.9,3081736192,3706793984,False
15:04:36,41.8,16.9,3081994240,3706793984,False
15:04:38,23.7,16.9,3081736192,3706793984,False
15:04:40,26.3,16.9,3081736192,3706793984,False
15:04:42,22.4,16.9,3081736192,3706793984,False
15:04:44,27.1,16.9,3081736192,3706793984,False
15:04:46,21.6,16.9,3081478144,3706793984,False
15:04:48,22.7,16.9,3081482240,3706793984,False
15:04:50,24.2,16.9,3081482240,3706793984,False
15:04:52,22.7,16.9,3081474048,3706793984,False
15:04:54,23.4,16.9,3081732096,3706793984,False
15:04:56,27.3,16.9,3081474048,3706793984,False
15:04:58,25.0,16.9,3081474048,3706793984,False
15:05:00,29.2,16.9,3081474048,3706793984,False
15:05:02,25.5,16.9,3081474048,3706793984,False
15:05:04,29.9,16.9,3081990144,3706793984,False
15:05:06,25.0,16.9,3081474048,3706793984,False
15:05:08,25.5,16.9,3081482240,3706793984,False
15:05:10,20.0,16.9,3081994240,3706793984,False
15:05:12,26.0,16.9,3081478144,3706793984,False
15:05:14,25.8,16.9,3081736192,3706793984,False
15:05:16,22.9,16.9,3081478144,3706793984,False
15:05:18,19.4,16.9,3081478144,3706793984,False
15:05:20,21.6,16.9,3081478144,3706793984,False
15:05:22,24.5,16.9,3081478144,3706793984,False
15:05:24,38.0,16.9,3081170944,3706793984,False
15:05:26,20.8,16.9,3081175040,3706793984,False
15:05:28,26.8,16.9,3081175040,3706793984,False
15:05:30,22.7,16.9,3081175040,3706793984,False
15:05:32,21.6,16.9,3081170944,3706793984,False
15:05:34,24.7,16.9,3080912896,3706793984,False
15:05:36,23.5,16.9,3080912896,3706793984,False
15:05:38,25.3,16.9,3081285632,3706793984,False
15:05:40,22.7,16.9,3081027584,3706793984,False
15:05:42,22.7,16.9,3081027584,3706793984,False
15:05:44,22.9,16.9,3081293824,3706793984,False
15:05:46,21.6,16.9,3081293824,3706793984,False
15:05:48,24.7,16.9,3081818112,3706793984,False
15:05:50,24.5,16.9,3081302016,3706793984,False
15:05:52,29.0,16.9,3081302016,3706793984,False
15:05:54,29.6,16.9,3081564160,3706793984,False
15:05:57,26.5,16.9,3081306112,3706793984,False
15:05:59,29.3,16.8,3083325440,3706793984,False
15:06:01,82.9,17.0,3077070848,3706793984,False
15:06:03,33.3,16.9,3081564160,3706793984,False
15:06:05,47.6,16.8,3082596352,3706793984,False
15:06:07,25.0,16.9,3081826304,3706793984,False
15:06:09,38.5,16.9,3081568256,3706793984,False
15:06:11,22.7,16.9,3081052160,3706793984,False
15:06:13,25.0,16.9,3081052160,3706793984,False
15:06:15,27.4,16.9,3081052160,3706793984,False
15:06:17,27.3,16.9,3081052160,3706793984,False
15:06:19,25.8,16.9,3081056256,3706793984,False
15:06:21,24.5,16.9,3081056256,3706793984,False
15:06:23,22.4,16.9,3081060352,3706793984,False
15:06:25,20.4,16.9,3081334784,3706793984,False
15:06:27,24.2,16.9,3081334784,3706793984,False
15:06:29,26.0,16.8,3083399168,3706793984,False
15:06:31,21.6,16.8,3083399168,3706793984,False
15:06:33,25.8,16.8,3083399168,3706793984,False
15:06:35,20.6,16.9,3081854976,3706793984,False
15:06:37,25.0,16.9,3081338880,3706793984,False
15:06:39,25.8,16.9,3081601024,3706793984,False
15:06:41,21.6,16.9,3081342976,3706793984,False
15:06:43,20.2,16.9,3081342976,3706793984,False
15:06:45,24.2,16.9,3081601024,3706793984,False
15:06:47,22.7,16.9,3081601024,3706793984,False
15:06:49,28.3,16.9,3081601024,3706793984,False
15:06:51,22.7,16.9,3081347072,3706793984,False
15:06:53,24.7,16.8,3082637312,3706793984,False
15:06:55,21.5,16.9,3081605120,3706793984,False
