time,numberOfPacketsTrans,numberOfPacketsRec,loss,bashliteRun
14:27:14,1,1,0%,0
14:27:15,1,1,0%,7
14:27:15,1,1,0%,0
14:27:15,1,1,0%,7
14:27:15,1,1,0%,0
14:27:16,1,1,0%,7
14:27:16,1,1,0%,0
14:27:16,1,1,0%,7
14:27:17,1,1,0%,0
14:27:17,1,1,0%,7
14:27:17,1,1,0%,0
14:27:18,1,1,0%,7
14:27:18,1,1,0%,0
14:27:18,1,1,0%,7
14:27:18,1,1,0%,0
14:27:19,1,1,0%,7
14:27:19,1,1,0%,0
14:27:19,1,1,0%,7
14:27:19,1,1,0%,0
14:27:20,1,1,0%,7
14:27:20,1,1,0%,0
14:27:20,1,1,0%,7
14:27:20,1,1,0%,0
14:27:21,1,1,0%,7
14:27:21,1,1,0%,0
14:27:21,1,1,0%,7
14:27:22,1,1,0%,0
14:27:22,1,1,0%,7
14:27:22,1,1,0%,0
14:27:22,1,1,0%,7
14:27:23,1,1,0%,0
14:27:23,1,1,0%,7
14:27:23,1,1,0%,0
14:27:24,1,1,0%,7
14:27:24,1,1,0%,0
14:27:24,1,1,0%,7
14:27:24,1,1,0%,0
14:27:25,1,1,0%,1
14:27:26,1,1,0%,1
14:27:26,1,1,0%,1
14:27:27,1,1,0%,1
14:27:27,1,1,0%,1
14:27:28,1,1,0%,1
14:27:28,1,1,0%,1
14:27:29,1,1,0%,1
14:27:29,1,1,0%,1
14:27:30,1,1,0%,1
14:27:30,1,1,0%,1
14:27:31,1,1,0%,1
14:27:32,1,1,0%,1
14:27:32,1,1,0%,1
14:27:33,1,1,0%,1
14:27:33,1,1,0%,1
14:27:34,1,1,0%,1
14:27:34,1,1,0%,1
14:27:35,1,1,0%,1
14:27:35,1,1,0%,1
14:27:36,1,1,0%,1
14:27:36,1,1,0%,1
14:27:37,1,1,0%,1
14:27:38,1,1,0%,1
14:27:38,1,1,0%,1
14:27:39,1,1,0%,1
14:27:39,1,1,0%,1
14:27:40,1,1,0%,1
14:27:40,1,1,0%,1
14:27:41,1,1,0%,1
14:27:41,1,1,0%,1
14:27:42,1,1,0%,1
14:27:42,1,1,0%,1
14:27:43,1,1,0%,1
14:27:43,1,1,0%,1
14:27:44,1,1,0%,1
14:27:45,1,1,0%,1
14:27:45,1,1,0%,1
14:27:46,1,1,0%,1
14:27:46,1,1,0%,1
14:27:47,1,1,0%,1
14:27:47,1,1,0%,1
14:27:48,1,1,0%,1
14:27:48,1,1,0%,1
14:27:49,1,1,0%,1
14:27:49,1,1,0%,1
14:27:50,1,1,0%,1
14:27:51,1,1,0%,1
14:27:51,1,1,0%,1
14:27:52,1,1,0%,1
14:27:52,1,1,0%,1
14:27:53,1,1,0%,1
14:27:53,1,1,0%,1
14:27:54,1,1,0%,1
14:27:54,1,1,0%,1
14:27:55,1,1,0%,1
14:27:55,1,1,0%,1
14:27:56,1,1,0%,1
14:27:56,1,1,0%,1
14:27:57,1,1,0%,1
14:27:58,1,1,0%,1
14:27:58,1,1,0%,1
14:27:59,1,1,0%,1
14:27:59,1,1,0%,1
14:28:00,1,1,0%,1
14:28:00,1,1,0%,1
14:28:01,1,1,0%,1
14:28:01,1,1,0%,1
14:28:02,1,1,0%,1
14:28:02,1,1,0%,1
14:28:03,,,,1
14:28:04,,,,1
14:28:04,,,,1
14:28:05,,,,1
14:28:05,,,,1
14:28:06,,,,1
14:28:06,,,,1
14:28:07,,,,1
14:28:07,,,,1
14:28:08,,,,1
14:28:08,1,1,0%,1
14:28:09,1,1,0%,1
14:28:10,1,1,0%,1
14:28:10,1,1,0%,1
14:28:11,1,1,0%,1
14:28:11,1,1,0%,1
14:28:12,1,1,0%,1
